City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
474,xining,36.6167,101.7667,9.47,85,7,0.97,CN,1693164656
475,aleksandrovskoye,44.7142,43.0008,18.76,35,0,2.11,RU,1693164657
476,selfoss,63.9331,-20.9971,12.8,89,100,3.92,IS,1693164657
477,swedru,5.5371,-0.6998,23.63,93,38,2.88,GH,1693164657
478,bairnsdale,-37.8333,147.6167,7.25,96,88,1.31,AU,1693164657
479,celestun,20.8667,-90.4,30.64,66,72,5.5,MX,1693164657
480,al ghayzah,16.2079,52.176,26.12,85,93,3.02,YE,1693164658
481,santa ana,33.7456,-117.8678,40.23,44,20,4.12,US,1693164658
482,yingkou,40.6648,122.2283,19.62,71,100,3.49,CN,1693164658
483,tokar,18.4254,37.729,33.55,53,89,4.39,SD,1693164658
484,genhe,50.7833,121.5167,7.64,77,3,1.16,CN,1693164658
485,dampit,-8.2116,112.7493,18.65,98,54,1.5,ID,1693164658
486,bhamo,24.2667,97.2333,23.73,100,100,0.36,MM,1693164658
487,swiebodzin,52.2475,15.5336,16.83,94,100,4.23,PL,1693164659
488,ardestan,33.3761,52.3694,25.63,29,0,1.93,IR,1693164659
489,altamira,-3.2033,-52.2064,36.05,41,40,3.09,BR,1693164659
490,middelburg,-25.7751,29.4648,9.38,47,0,5.4,ZA,1693164659
491,tegueste,28.5167,-16.3167,23.23,73,40,8.23,ES,1693164659
492,tanout,14.9709,8.8879,26.9,60,100,11.9,NE,1693164660
493,fada,9.5667,8.3,19.76,95,77,0.45,NG,1693164660
494,murzuq,25.9155,13.9184,35.35,18,52,3.72,LY,1693164660
495,arauco,-37.2463,-73.3175,12.56,62,70,1.72,CL,1693164660
496,amga,60.8953,131.9608,11.47,92,58,1.18,RU,1693164660
497,sidhi,24.4167,81.8833,24.67,79,46,3.81,IN,1693164660
498,lamar,33.6668,-95.5836,38.88,49,20,4.12,US,1693164660
499,kanggye,40.9695,126.5852,17.54,95,100,1.45,KP,1693164661
500,haworth,53.829,-1.9483,14.48,82,20,6.69,GB,1693164661
501,lodja,-3.4833,23.4333,28.11,51,100,0.99,CD,1693164661
502,morondava,-20.2833,44.2833,24.66,63,1,7.65,MG,1693164662
503,concepcion del uruguay,-32.4825,-58.2372,17.36,41,2,0.45,AR,1693164663
